[8 Apr 2026 18:11:24] DISTANCE CHECK: SimLat=116081.24929350479, SimLon=229.1831180523293, ExpLat=48.723333, ExpLon=2.379444, Dist=2881.73 | uiMismatch=True
[8 Apr 2026 18:11:25] DISTANCE CHECK: SimLat=116081.24929350479, SimLon=229.1831180523293, ExpLat=48.723333, ExpLon=2.379444, Dist=2881.73 | uiMismatch=True
[8 Apr 2026 18:11:25] DISTANCE CHECK: SimLat=116081.24929350479, SimLon=229.1831180523293, ExpLat=48.723333, ExpLon=2.379444, Dist=2881.73 | uiMismatch=True
[8 Apr 2026 18:11:26] DISTANCE CHECK: SimLat=116081.24929350479, SimLon=229.1831180523293, ExpLat=48.723333, ExpLon=2.379444, Dist=2881.73 | uiMismatch=True
[8 Apr 2026 18:11:27] DISTANCE CHECK: SimLat=116081.24929350479, SimLon=229.1831180523293, ExpLat=48.723333, ExpLon=2.379444, Dist=2881.73 | uiMismatch=True
[8 Apr 2026 18:11:28] DISTANCE CHECK: SimLat=116081.24929350479, SimLon=229.1831180523293, ExpLat=48.723333, ExpLon=2.379444, Dist=2881.73 | uiMismatch=True
[8 Apr 2026 18:11:29] DISTANCE CHECK: SimLat=116081.24929350479, SimLon=229.1831180523293, ExpLat=48.723333, ExpLon=2.379444, Dist=2881.73 | uiMismatch=True
[8 Apr 2026 18:11:30] DISTANCE CHECK: SimLat=116081.24929350479, SimLon=229.1831180523293, ExpLat=48.723333, ExpLon=2.379444, Dist=2881.73 | uiMismatch=True
[8 Apr 2026 18:11:31] DISTANCE CHECK: SimLat=116081.24929350479, SimLon=229.1831180523293, ExpLat=48.723333, ExpLon=2.379444, Dist=2881.73 | uiMismatch=True
[8 Apr 2026 18:11:32] DISTANCE CHECK: SimLat=116081.24929350479, SimLon=229.1831180523293, ExpLat=48.723333, ExpLon=2.379444, Dist=2881.73 | uiMismatch=True
[8 Apr 2026 18:11:33] DISTANCE CHECK: SimLat=116081.24929350479, SimLon=229.1831180523293, ExpLat=48.723333, ExpLon=2.379444, Dist=2881.73 | uiMismatch=True
[8 Apr 2026 18:11:34] DISTANCE CHECK: SimLat=116081.24929350479, SimLon=229.1831180523293, ExpLat=48.723333, ExpLon=2.379444, Dist=2881.73 | uiMismatch=True
[8 Apr 2026 18:11:35] DISTANCE CHECK: SimLat=116081.24929350479, SimLon=229.1831180523293, ExpLat=48.723333, ExpLon=2.379444, Dist=2881.73 | uiMismatch=True
[8 Apr 2026 18:11:36] DISTANCE CHECK: SimLat=116081.24929350479, SimLon=229.1831180523293, ExpLat=48.723333, ExpLon=2.379444, Dist=2881.73 | uiMismatch=True
[8 Apr 2026 18:11:37] DISTANCE CHECK: SimLat=116081.24929350479, SimLon=229.1831180523293, ExpLat=48.723333, ExpLon=2.379444, Dist=2881.73 | uiMismatch=True
[8 Apr 2026 18:11:38] DISTANCE CHECK: SimLat=116081.24929350479, SimLon=229.1831180523293, ExpLat=48.723333, ExpLon=2.379444, Dist=2881.73 | uiMismatch=True
[8 Apr 2026 18:11:39] DISTANCE CHECK: SimLat=116081.24929350479, SimLon=229.1831180523293, ExpLat=48.723333, ExpLon=2.379444, Dist=2881.73 | uiMismatch=True
[8 Apr 2026 18:11:40] DISTANCE CHECK: SimLat=116081.24929350479, SimLon=229.1831180523293, ExpLat=48.723333, ExpLon=2.379444, Dist=2881.73 | uiMismatch=True
