[8 Apr 2026 18:13:49] DISTANCE CHECK: SimLat=48.72275127841284, SimLon=2.358388845186463, ExpLat=48.723333, ExpLon=2.379444, Dist=0.83 | uiMismatch=False
[8 Apr 2026 18:13:50] DISTANCE CHECK: SimLat=48.722751278413334, SimLon=2.358388845186263, ExpLat=48.723333, ExpLon=2.379444, Dist=0.83 | uiMismatch=False
[8 Apr 2026 18:13:50] DISTANCE CHECK: SimLat=48.722751278413334, SimLon=2.358388845186263, ExpLat=48.723333, ExpLon=2.379444, Dist=0.83 | uiMismatch=False
[8 Apr 2026 18:13:51] DISTANCE CHECK: SimLat=48.72275127841379, SimLon=2.3583888451860537, ExpLat=48.723333, ExpLon=2.379444, Dist=0.83 | uiMismatch=False
[8 Apr 2026 18:13:52] DISTANCE CHECK: SimLat=48.72275127841426, SimLon=2.3583888451859085, ExpLat=48.723333, ExpLon=2.379444, Dist=0.83 | uiMismatch=False
[8 Apr 2026 18:13:53] DISTANCE CHECK: SimLat=48.72275127841495, SimLon=2.3583888451856776, ExpLat=48.723333, ExpLon=2.379444, Dist=0.83 | uiMismatch=False
[8 Apr 2026 18:13:54] DISTANCE CHECK: SimLat=48.72275127841543, SimLon=2.358388845185594, ExpLat=48.723333, ExpLon=2.379444, Dist=0.83 | uiMismatch=False
[8 Apr 2026 18:13:55] DISTANCE CHECK: SimLat=48.7227512784159, SimLon=2.358388845185396, ExpLat=48.723333, ExpLon=2.379444, Dist=0.83 | uiMismatch=False
[8 Apr 2026 18:13:56] DISTANCE CHECK: SimLat=48.72275127841647, SimLon=2.3583888451852317, ExpLat=48.723333, ExpLon=2.379444, Dist=0.83 | uiMismatch=False
[8 Apr 2026 18:13:57] DISTANCE CHECK: SimLat=48.72275127841692, SimLon=2.3583888451850563, ExpLat=48.723333, ExpLon=2.379444, Dist=0.83 | uiMismatch=False
[8 Apr 2026 18:13:58] DISTANCE CHECK: SimLat=48.722751278417384, SimLon=2.3583888451848396, ExpLat=48.723333, ExpLon=2.379444, Dist=0.83 | uiMismatch=False
[8 Apr 2026 18:13:59] DISTANCE CHECK: SimLat=48.722751278417824, SimLon=2.3583888451847157, ExpLat=48.723333, ExpLon=2.379444, Dist=0.83 | uiMismatch=False
[8 Apr 2026 18:14:00] DISTANCE CHECK: SimLat=48.722751278418286, SimLon=2.358388845184586, ExpLat=48.723333, ExpLon=2.379444, Dist=0.83 | uiMismatch=False
[8 Apr 2026 18:14:01] DISTANCE CHECK: SimLat=48.72275127841911, SimLon=2.3583888451844386, ExpLat=48.723333, ExpLon=2.379444, Dist=0.83 | uiMismatch=False
[8 Apr 2026 18:14:02] DISTANCE CHECK: SimLat=48.72275127841954, SimLon=2.3583888451841593, ExpLat=48.723333, ExpLon=2.379444, Dist=0.83 | uiMismatch=False
[8 Apr 2026 18:14:03] DISTANCE CHECK: SimLat=48.72275127841997, SimLon=2.358388845184038, ExpLat=48.723333, ExpLon=2.379444, Dist=0.83 | uiMismatch=False
[8 Apr 2026 18:14:04] DISTANCE CHECK: SimLat=48.72275127842049, SimLon=2.3583888451838373, ExpLat=48.723333, ExpLon=2.379444, Dist=0.83 | uiMismatch=False
[8 Apr 2026 18:14:05] DISTANCE CHECK: SimLat=48.722751278420944, SimLon=2.358388845183544, ExpLat=48.723333, ExpLon=2.379444, Dist=0.83 | uiMismatch=False
[8 Apr 2026 18:14:06] DISTANCE CHECK: SimLat=48.72275127842329, SimLon=2.358388845183557, ExpLat=48.723333, ExpLon=2.379444, Dist=0.83 | uiMismatch=False
[8 Apr 2026 18:14:07] DISTANCE CHECK: SimLat=48.72275127842184, SimLon=2.35838884518326, ExpLat=48.723333, ExpLon=2.379444, Dist=0.83 | uiMismatch=False
[8 Apr 2026 18:14:08] DISTANCE CHECK: SimLat=48.72275127842288, SimLon=2.358388845183173, ExpLat=48.723333, ExpLon=2.379444, Dist=0.83 | uiMismatch=False
[8 Apr 2026 18:14:09] DISTANCE CHECK: SimLat=48.722751278423175, SimLon=2.358388845182959, ExpLat=48.723333, ExpLon=2.379444, Dist=0.83 | uiMismatch=False
[8 Apr 2026 18:14:10] DISTANCE CHECK: SimLat=48.722751278423864, SimLon=2.3583888451827977, ExpLat=48.723333, ExpLon=2.379444, Dist=0.83 | uiMismatch=False
[8 Apr 2026 18:14:11] DISTANCE CHECK: SimLat=48.722751278424326, SimLon=2.3583888451825628, ExpLat=48.723333, ExpLon=2.379444, Dist=0.83 | uiMismatch=False
[8 Apr 2026 18:14:12] DISTANCE CHECK: SimLat=48.72275127842608, SimLon=2.3583888451824264, ExpLat=48.723333, ExpLon=2.379444, Dist=0.83 | uiMismatch=False
[8 Apr 2026 18:14:13] DISTANCE CHECK: SimLat=48.722751278426934, SimLon=2.3583888451821706, ExpLat=48.723333, ExpLon=2.379444, Dist=0.83 | uiMismatch=False
[8 Apr 2026 18:14:14] DISTANCE CHECK: SimLat=48.722751278427545, SimLon=2.3583888451820596, ExpLat=48.723333, ExpLon=2.379444, Dist=0.83 | uiMismatch=False
[8 Apr 2026 18:14:38] DISTANCE CHECK: SimLat=48.72275127843884, SimLon=2.3583888451776303, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:14:39] DISTANCE CHECK: SimLat=48.72275127843951, SimLon=2.358388845177463, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:14:39] DISTANCE CHECK: SimLat=48.72275127843951, SimLon=2.358388845177463, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:14:40] DISTANCE CHECK: SimLat=48.72275127843994, SimLon=2.358388845177296, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:14:41] DISTANCE CHECK: SimLat=48.722751278440604, SimLon=2.358388845177115, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:14:42] DISTANCE CHECK: SimLat=48.722751278442765, SimLon=2.3583888451768806, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:14:43] DISTANCE CHECK: SimLat=48.72275127844273, SimLon=2.3583888451767248, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:14:44] DISTANCE CHECK: SimLat=48.72275127844344, SimLon=2.358388845176496, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:14:45] DISTANCE CHECK: SimLat=48.722751278443944, SimLon=2.3583888451762918, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:14:46] DISTANCE CHECK: SimLat=48.72275127844407, SimLon=2.3583888451761204, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:14:47] DISTANCE CHECK: SimLat=48.722751278445386, SimLon=2.3583888451760524, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:14:48] DISTANCE CHECK: SimLat=48.72275127844552, SimLon=2.358388845175936, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
